variable,depth,time,value
fluorescence,43,2017-01-10T21:54:47Z,0.8227891859556096
fluorescence,43,2017-01-10T22:54:47Z,0.9882146141868557
fluorescence,43,2017-01-10T23:54:47Z,1.153640042418102
fluorescence,43,2017-01-11T00:54:47Z,1.319065470649348
fluorescence,43,2017-01-11T01:54:47Z,1.4844908988805943
fluorescence,43,2017-01-11T02:54:47Z,1.6499163271118402
fluorescence,43,2017-01-11T03:54:47Z,1.8153417553430864
fluorescence,43,2017-01-11T04:54:47Z,1.847372266306372
fluorescence,43,2017-01-11T05:54:47Z,1.8388673424316213
fluorescence,43,2017-01-11T06:54:47Z,1.8303624185568703
fluorescence,43,2017-01-11T07:54:47Z,1.8218574946821195
fluorescence,43,2017-01-11T08:54:47Z,1.8133525708073686
fluorescence,43,2017-01-11T09:54:47Z,1.6788131761047862
fluorescence,43,2017-01-11T10:54:47Z,1.5240400075555693
fluorescence,43,2017-01-11T11:54:47Z,1.3692668390063523
fluorescence,43,2017-01-11T12:54:47Z,1.2144936704571354
fluorescence,43,2017-01-11T13:54:47Z,1.0597205019079186
fluorescence,43,2017-01-11T14:54:47Z,0.9049473333587015
fluorescence,43,2017-01-11T15:54:47Z,0.7501741648094846
fluorescence,43,2017-01-11T16:54:47Z,0.5954009962602678
fluorescence,43,2017-01-11T17:54:47Z,0.4406278277110509
fluorescence,43,2017-01-11T18:54:47Z,0.28585465916183384
fluorescence,43,2017-01-11T19:54:47Z,0.3671095358168853
fluorescence,43,2017-01-11T20:54:47Z,0.47795092267103384
fluorescence,43,2017-01-11T21:54:47Z,0.5887923095251824
fluorescence,43,2017-01-11T22:54:47Z,0.6996336963793308
fluorescence,43,2017-01-11T23:54:47Z,0.8104750832334793
fluorescence,43,2017-01-12T00:54:47Z,0.9213164700876277
fluorescence,43,2017-01-12T01:54:47Z,1.0321578569417762
fluorescence,43,2017-01-12T02:54:47Z,1.1429992437959247
fluorescence,43,2017-01-12T03:54:47Z,1.2538406306500731
fluorescence,43,2017-01-12T04:54:47Z,1.3646820175042216
fluorescence,43,2017-01-12T05:54:47Z,1.47552340435837
fluorescence,43,2017-01-12T06:54:47Z,1.5863647912125185
fluorescence,43,2017-01-12T07:54:47Z,1.697206178066667
fluorescence,43,2017-01-12T08:54:47Z,1.8080475649208154
fluorescence,43,2017-01-12T09:54:47Z,1.9188889517749639
fluorescence,43,2017-01-12T10:54:47Z,1.7869077377618072
fluorescence,43,2017-01-12T11:54:47Z,1.6029223579642529
fluorescence,43,2017-01-12T12:54:47Z,1.4189369781666983
fluorescence,43,2017-01-12T13:54:47Z,1.2349515983691441
fluorescence,43,2017-01-12T14:54:47Z,1.0509662185715896
fluorescence,43,2017-01-12T15:54:47Z,0.8669808387740354
fluorescence,43,2017-01-12T16:54:47Z,0.6829954589764808
fluorescence,43,2017-01-12T17:54:47Z,0.4990100791789267
fluorescence,43,2017-01-12T18:54:47Z,0.31502469938137234
fluorescence,43,2017-01-12T19:54:47Z,0.5364027349521443
fluorescence,43,2017-01-12T20:54:47Z,0.8185011288134768
fluorescence,43,2017-01-12T21:54:47Z,1.1005995226748095
fluorescence,43,2017-01-12T22:54:47Z,1.382697916536142
fluorescence,43,2017-01-12T23:54:47Z,1.6647963103974746
fluorescence,43,2017-01-13T00:54:47Z,1.7186100836613023
fluorescence,43,2017-01-13T01:54:47Z,1.685470796605482
fluorescence,43,2017-01-13T02:54:47Z,1.6523315095496618
fluorescence,43,2017-01-13T03:54:47Z,1.6191922224938415
fluorescence,43,2017-01-13T04:54:47Z,1.5860529354380213
fluorescence,43,2017-01-13T05:54:47Z,1.5529136483822013
fluorescence,43,2017-01-13T06:54:47Z,1.519774361326381
fluorescence,43,2017-01-13T07:54:47Z,1.4866350742705607
fluorescence,43,2017-01-13T08:54:47Z,1.4534957872147405
fluorescence,43,2017-01-13T09:54:47Z,1.4203565001589202
fluorescence,43,2017-01-13T10:54:47Z,1.3872172131031
fluorescence,43,2017-01-13T11:54:47Z,1.35407792604728
fluorescence,43,2017-01-13T12:54:47Z,1.3209386389914597
fluorescence,43,2017-01-13T13:54:47Z,1.2877993519356394
fluorescence,43,2017-01-13T14:54:47Z,1.2546600648798192
fluorescence,43,2017-01-13T15:54:47Z,1.221520777823999
fluorescence,43,2017-01-13T16:54:47Z,1.1883814907681787
fluorescence,43,2017-01-13T17:54:47Z,1.1772338028169014
fluorescence,43,2017-01-13T18:54:47Z,1.1772338028169014
fluorescence,43,2017-01-13T19:54:47Z,1.1772338028169014
fluorescence,44,2017-01-08T09:54:47Z,1.1441284033302974
fluorescence,44,2017-01-08T10:54:47Z,1.1327184171745417
fluorescence,44,2017-01-08T11:54:47Z,1.1213084310187862
fluorescence,44,2017-01-08T12:54:47Z,1.1098984448630305
fluorescence,44,2017-01-08T13:54:47Z,1.098488458707275
fluorescence,44,2017-01-08T14:54:47Z,1.0870784725515192
fluorescence,44,2017-01-08T15:54:47Z,1.0756684863957637
fluorescence,44,2017-01-08T16:54:47Z,1.064258500240008
fluorescence,44,2017-01-08T17:54:47Z,1.0528485140842525
fluorescence,44,2017-01-08T18:54:47Z,1.0414385279284968
fluorescence,44,2017-01-08T19:54:47Z,1.0300285417727413
fluorescence,44,2017-01-08T20:54:47Z,1.0186185556169856
fluorescence,44,2017-01-08T21:54:47Z,1.00720856946123
fluorescence,44,2017-01-08T22:54:47Z,0.9957985833054743
fluorescence,44,2017-01-08T23:54:47Z,0.9843885971497188
fluorescence,44,2017-01-09T00:54:47Z,0.9729786109939631
fluorescence,44,2017-01-09T01:54:47Z,0.9672606207670114
fluorescence,44,2017-01-09T02:54:47Z,1.0558076362878106
fluorescence,44,2017-01-09T03:54:47Z,1.1443546518086096
fluorescence,44,2017-01-09T04:54:47Z,1.2329016673294089
fluorescence,44,2017-01-09T05:54:47Z,1.321448682850208
fluorescence,44,2017-01-09T06:54:47Z,1.4099956983710071
fluorescence,44,2017-01-09T07:54:47Z,1.4985427138918062
fluorescence,44,2017-01-09T08:54:47Z,1.4701839461873187
fluorescence,44,2017-01-09T09:54:47Z,1.407992845801588
fluorescence,44,2017-01-09T10:54:47Z,1.3458017454158573
fluorescence,44,2017-01-09T11:54:47Z,1.2836106450301266
fluorescence,44,2017-01-09T12:54:47Z,1.2214195446443958
fluorescence,44,2017-01-09T13:54:47Z,1.159228444258665
fluorescence,44,2017-01-09T14:54:47Z,1.0970373438729342
fluorescence,44,2017-01-09T15:54:47Z,1.0348462434872034
fluorescence,44,2017-01-09T16:54:47Z,0.9726551431014727
fluorescence,44,2017-01-09T17:54:47Z,0.9403098545799072
fluorescence,44,2017-01-09T18:54:47Z,0.9296017070983428
fluorescence,44,2017-01-09T19:54:47Z,0.9188935596167784
fluorescence,44,2017-01-09T20:54:47Z,0.908185412135214
fluorescence,44,2017-01-09T21:54:47Z,0.8974772646536495
fluorescence,44,2017-01-09T22:54:47Z,0.8867691171720851
fluorescence,44,2017-01-09T23:54:47Z,0.8760609696905207
fluorescence,44,2017-01-10T00:54:47Z,0.8653528222089563
fluorescence,44,2017-01-10T01:54:47Z,0.8546446747273918
fluorescence,44,2017-01-10T02:54:47Z,0.8439365272458275
fluorescence,44,2017-01-10T03:54:47Z,0.833228379764263
fluorescence,44,2017-01-10T04:54:47Z,0.8225202322826985
fluorescence,44,2017-01-10T05:54:47Z,0.8118120848011341
fluorescence,44,2017-01-10T06:54:47Z,0.8011039373195697
fluorescence,44,2017-01-10T07:54:47Z,0.7903957898380053
fluorescence,44,2017-01-10T08:54:47Z,0.779687642356441
fluorescence,44,2017-01-10T09:54:47Z,0.7689794948748765
fluorescence,44,2017-01-10T10:54:47Z,0.758271347393312
fluorescence,44,2017-01-10T11:54:47Z,0.7475631999117476
fluorescence,44,2017-01-10T12:54:47Z,0.7368550524301831
fluorescence,44,2017-01-10T13:54:47Z,0.7007226334899267
fluorescence,44,2017-01-10T14:54:47Z,0.63077346513374
fluorescence,44,2017-01-10T15:54:47Z,0.5608242967775532
fluorescence,44,2017-01-10T16:54:47Z,0.4908751284213665
fluorescence,44,2017-01-10T17:54:47Z,0.4209259600651798
fluorescence,44,2017-01-10T18:54:47Z,0.3509767917089931
fluorescence,44,2017-01-10T19:54:47Z,0.4889418935391302
fluorescence,44,2017-01-10T20:54:47Z,0.6512270946122845
fluorescence,44,2017-01-10T21:54:47Z,0.8135122956854388
fluorescence,44,2017-01-10T22:54:47Z,0.9757974967585932
fluorescence,44,2017-01-10T23:54:47Z,1.1380826978317473
fluorescence,44,2017-01-11T00:54:47Z,1.3003678989049017
fluorescence,44,2017-01-11T01:54:47Z,1.462653099978056
fluorescence,44,2017-01-11T02:54:47Z,1.6249383010512102
fluorescence,44,2017-01-11T03:54:47Z,1.7872235021243645
fluorescence,44,2017-01-11T04:54:47Z,1.8180328220868334
fluorescence,44,2017-01-11T05:54:47Z,1.80888985510549
fluorescence,44,2017-01-11T06:54:47Z,1.7997468881241467
fluorescence,44,2017-01-11T07:54:47Z,1.7906039211428033
fluorescence,44,2017-01-11T08:54:47Z,1.78146095416146
fluorescence,44,2017-01-11T09:54:47Z,1.6496528877473402
fluorescence,44,2017-01-11T10:54:47Z,1.4981519717144187
fluorescence,44,2017-01-11T11:54:47Z,1.3466510556814972
fluorescence,44,2017-01-11T12:54:47Z,1.1951501396485757
fluorescence,44,2017-01-11T13:54:47Z,1.0436492236156543
fluorescence,44,2017-01-11T14:54:47Z,0.8921483075827329
fluorescence,44,2017-01-11T15:54:47Z,0.7406473915498115
fluorescence,44,2017-01-11T16:54:47Z,0.58914647551689
fluorescence,44,2017-01-11T17:54:47Z,0.43764555948396855
fluorescence,44,2017-01-11T18:54:47Z,0.28614464345104706
fluorescence,44,2017-01-11T19:54:47Z,0.38319212455189894
fluorescence,44,2017-01-11T20:54:47Z,0.5113955629052183
fluorescence,44,2017-01-11T21:54:47Z,0.6395990012585377
fluorescence,44,2017-01-11T22:54:47Z,0.767802439611857
fluorescence,44,2017-01-11T23:54:47Z,0.8960058779651764
fluorescence,44,2017-01-12T00:54:47Z,1.0242093163184958
fluorescence,44,2017-01-12T01:54:47Z,1.1524127546718153
fluorescence,44,2017-01-12T02:54:47Z,1.2806161930251343
fluorescence,44,2017-01-12T03:54:47Z,1.4088196313784538
fluorescence,44,2017-01-12T04:54:47Z,1.5370230697317733
fluorescence,44,2017-01-12T05:54:47Z,1.6652265080850928
fluorescence,44,2017-01-12T06:54:47Z,1.7934299464384118
fluorescence,44,2017-01-12T07:54:47Z,1.9216333847917313
fluorescence,44,2017-01-12T08:54:47Z,2.049836823145051
fluorescence,44,2017-01-12T09:54:47Z,2.1780402614983703
fluorescence,44,2017-01-12T10:54:47Z,2.026101018685795
fluorescence,44,2017-01-12T11:54:47Z,1.814164945336847
fluorescence,44,2017-01-12T12:54:47Z,1.6022288719878992
fluorescence,44,2017-01-12T13:54:47Z,1.3902927986389515
fluorescence,44,2017-01-12T14:54:47Z,1.1783567252900038
fluorescence,44,2017-01-12T15:54:47Z,0.9664206519410561
fluorescence,44,2017-01-12T16:54:47Z,0.7544845785921084
fluorescence,44,2017-01-12T17:54:47Z,0.5425485052431609
fluorescence,44,2017-01-12T18:54:47Z,0.3306124318942132
fluorescence,44,2017-01-12T19:54:47Z,0.5384958660557602
fluorescence,44,2017-01-12T20:54:47Z,0.8092650712241489
fluorescence,44,2017-01-12T21:54:47Z,1.080034276392538
fluorescence,44,2017-01-12T22:54:47Z,1.3508034815609267
fluorescence,44,2017-01-12T23:54:47Z,1.6215726867293154
fluorescence,44,2017-01-13T00:54:47Z,1.6757762954129085
fluorescence,44,2017-01-13T01:54:47Z,1.647490591741533
fluorescence,44,2017-01-13T02:54:47Z,1.6192048880701577
fluorescence,44,2017-01-13T03:54:47Z,1.5909191843987824
fluorescence,44,2017-01-13T04:54:47Z,1.562633480727407
fluorescence,44,2017-01-13T05:54:47Z,1.5343477770560316
fluorescence,44,2017-01-13T06:54:47Z,1.5060620733846564
fluorescence,44,2017-01-13T07:54:47Z,1.477776369713281
fluorescence,44,2017-01-13T08:54:47Z,1.4494906660419056
fluorescence,44,2017-01-13T09:54:47Z,1.4212049623705303
fluorescence,44,2017-01-13T10:54:47Z,1.392919258699155
fluorescence,44,2017-01-13T11:54:47Z,1.3646335550277797
fluorescence,44,2017-01-13T12:54:47Z,1.3363478513564042
fluorescence,44,2017-01-13T13:54:47Z,1.308062147685029
fluorescence,44,2017-01-13T14:54:47Z,1.2797764440136536
fluorescence,44,2017-01-13T15:54:47Z,1.2514907403422781
fluorescence,44,2017-01-13T16:54:47Z,1.2232050366709029
fluorescence,44,2017-01-13T17:54:47Z,1.2136900402414486
fluorescence,44,2017-01-13T18:54:47Z,1.2136900402414486
fluorescence,44,2017-01-13T19:54:47Z,1.2136900402414486
fluorescence,45,2017-01-08T09:54:47Z,1.0939011546789312
fluorescence,45,2017-01-08T10:54:47Z,1.0906172811808983
fluorescence,45,2017-01-08T11:54:47Z,1.0873334076828651
fluorescence,45,2017-01-08T12:54:47Z,1.0840495341848322
fluorescence,45,2017-01-08T13:54:47Z,1.0807656606867992
fluorescence,45,2017-01-08T14:54:47Z,1.077481787188766
fluorescence,45,2017-01-08T15:54:47Z,1.0741979136907331
fluorescence,45,2017-01-08T16:54:47Z,1.0709140401927002
fluorescence,45,2017-01-08T17:54:47Z,1.0676301666946673
fluorescence,45,2017-01-08T18:54:47Z,1.064346293196634
fluorescence,45,2017-01-08T19:54:47Z,1.0610624196986012
fluorescence,45,2017-01-08T20:54:47Z,1.0577785462005682
fluorescence,45,2017-01-08T21:54:47Z,1.054494672702535
fluorescence,45,2017-01-08T22:54:47Z,1.0512107992045021
fluorescence,45,2017-01-08T23:54:47Z,1.0479269257064692
fluorescence,45,2017-01-09T00:54:47Z,1.044643052208436
fluorescence,45,2017-01-09T01:54:47Z,1.0469154767058106
fluorescence,45,2017-01-09T02:54:47Z,1.1412056167856652
fluorescence,45,2017-01-09T03:54:47Z,1.23549575686552
fluorescence,45,2017-01-09T04:54:47Z,1.3297858969453746
fluorescence,45,2017-01-09T05:54:47Z,1.4240760370252294
fluorescence,45,2017-01-09T06:54:47Z,1.5183661771050843
fluorescence,45,2017-01-09T07:54:47Z,1.612656317184939
fluorescence,45,2017-01-09T08:54:47Z,1.598833530635558
fluorescence,45,2017-01-09T09:54:47Z,1.553723048987172
fluorescence,45,2017-01-09T10:54:47Z,1.508612567338786
fluorescence,45,2017-01-09T11:54:47Z,1.4635020856904
fluorescence,45,2017-01-09T12:54:47Z,1.418391604042014
fluorescence,45,2017-01-09T13:54:47Z,1.3732811223936279
fluorescence,45,2017-01-09T14:54:47Z,1.3281706407452418
fluorescence,45,2017-01-09T15:54:47Z,1.2830601590968558
fluorescence,45,2017-01-09T16:54:47Z,1.2379496774484697
fluorescence,45,2017-01-09T17:54:47Z,1.2104479634483032
fluorescence,45,2017-01-09T18:54:47Z,1.1957119731911916
fluorescence,45,2017-01-09T19:54:47Z,1.18097598293408
fluorescence,45,2017-01-09T20:54:47Z,1.1662399926769684
fluorescence,45,2017-01-09T21:54:47Z,1.1515040024198568
fluorescence,45,2017-01-09T22:54:47Z,1.1367680121627453
fluorescence,45,2017-01-09T23:54:47Z,1.1220320219056337
fluorescence,45,2017-01-10T00:54:47Z,1.1072960316485223
fluorescence,45,2017-01-10T01:54:47Z,1.0925600413914107
fluorescence,45,2017-01-10T02:54:47Z,1.0778240511342991
fluorescence,45,2017-01-10T03:54:47Z,1.0630880608771875
fluorescence,45,2017-01-10T04:54:47Z,1.048352070620076
fluorescence,45,2017-01-10T05:54:47Z,1.0336160803629644
fluorescence,45,2017-01-10T06:54:47Z,1.0188800901058528
fluorescence,45,2017-01-10T07:54:47Z,1.0041440998487412
fluorescence,45,2017-01-10T08:54:47Z,0.9894081095916297
fluorescence,45,2017-01-10T09:54:47Z,0.9746721193345181
fluorescence,45,2017-01-10T10:54:47Z,0.9599361290774067
fluorescence,45,2017-01-10T11:54:47Z,0.9452001388202951
fluorescence,45,2017-01-10T12:54:47Z,0.9304641485631835
fluorescence,45,2017-01-10T13:54:47Z,0.8745324691058715
fluorescence,45,2017-01-10T14:54:47Z,0.7638065234308171
fluorescence,45,2017-01-10T15:54:47Z,0.6530805777557629
fluorescence,45,2017-01-10T16:54:47Z,0.5423546320807086
fluorescence,45,2017-01-10T17:54:47Z,0.4316286864056542
fluorescence,45,2017-01-10T18:54:47Z,0.3209027407306
fluorescence,45,2017-01-10T19:54:47Z,0.45037119013974297
fluorescence,45,2017-01-10T20:54:47Z,0.6079356019896998
fluorescence,45,2017-01-10T21:54:47Z,0.7655000138396565
fluorescence,45,2017-01-10T22:54:47Z,0.9230644256896132
fluorescence,45,2017-01-10T23:54:47Z,1.08062883753957
fluorescence,45,2017-01-11T00:54:47Z,1.2381932493895267
fluorescence,45,2017-01-11T01:54:47Z,1.3957576612394835
fluorescence,45,2017-01-11T02:54:47Z,1.5533220730894404
fluorescence,45,2017-01-11T03:54:47Z,1.710886484939397
fluorescence,45,2017-01-11T04:54:47Z,1.772688552741548
fluorescence,45,2017-01-11T05:54:47Z,1.8053907992267453
fluorescence,45,2017-01-11T06:54:47Z,1.8380930457119427
fluorescence,45,2017-01-11T07:54:47Z,1.87079529219714
fluorescence,45,2017-01-11T08:54:47Z,1.9034975386823372
fluorescence,45,2017-01-11T09:54:47Z,1.7678844685286659
fluorescence,45,2017-01-11T10:54:47Z,1.605249790481327
fluorescence,45,2017-01-11T11:54:47Z,1.442615112433988
fluorescence,45,2017-01-11T12:54:47Z,1.2799804343866494
fluorescence,45,2017-01-11T13:54:47Z,1.1173457563393105
fluorescence,45,2017-01-11T14:54:47Z,0.9547110782919714
fluorescence,45,2017-01-11T15:54:47Z,0.7920764002446328
fluorescence,45,2017-01-11T16:54:47Z,0.6294417221972937
fluorescence,45,2017-01-11T17:54:47Z,0.466807044149955
fluorescence,45,2017-01-11T18:54:47Z,0.3041723661026161
fluorescence,45,2017-01-11T19:54:47Z,0.3847036274521043
fluorescence,45,2017-01-11T20:54:47Z,0.49571614597512426
fluorescence,45,2017-01-11T21:54:47Z,0.6067286644981442
fluorescence,45,2017-01-11T22:54:47Z,0.7177411830211642
fluorescence,45,2017-01-11T23:54:47Z,0.8287537015441842
fluorescence,45,2017-01-12T00:54:47Z,0.9397662200672041
fluorescence,45,2017-01-12T01:54:47Z,1.050778738590224
fluorescence,45,2017-01-12T02:54:47Z,1.1617912571132438
fluorescence,45,2017-01-12T03:54:47Z,1.2728037756362638
fluorescence,45,2017-01-12T04:54:47Z,1.383816294159284
fluorescence,45,2017-01-12T05:54:47Z,1.494828812682304
fluorescence,45,2017-01-12T06:54:47Z,1.605841331205324
fluorescence,45,2017-01-12T07:54:47Z,1.7168538497283439
fluorescence,45,2017-01-12T08:54:47Z,1.8278663682513638
fluorescence,45,2017-01-12T09:54:47Z,1.9388788867743838
fluorescence,45,2017-01-12T10:54:47Z,1.8070096174880765
fluorescence,45,2017-01-12T11:54:47Z,1.6231235066304635
fluorescence,45,2017-01-12T12:54:47Z,1.4392373957728501
fluorescence,45,2017-01-12T13:54:47Z,1.2553512849152368
fluorescence,45,2017-01-12T14:54:47Z,1.0714651740576238
fluorescence,45,2017-01-12T15:54:47Z,0.8875790632000105
fluorescence,45,2017-01-12T16:54:47Z,0.7036929523423971
fluorescence,45,2017-01-12T17:54:47Z,0.5198068414847841
fluorescence,45,2017-01-12T18:54:47Z,0.33592073062717076
fluorescence,45,2017-01-12T19:54:47Z,0.5286925888163481
fluorescence,45,2017-01-12T20:54:47Z,0.7778849476388519
fluorescence,45,2017-01-12T21:54:47Z,1.0270773064613559
fluorescence,45,2017-01-12T22:54:47Z,1.2762696652838597
fluorescence,45,2017-01-12T23:54:47Z,1.5254620241063637
fluorescence,45,2017-01-13T00:54:47Z,1.5807783459959728
fluorescence,45,2017-01-13T01:54:47Z,1.5622477539330066
fluorescence,45,2017-01-13T02:54:47Z,1.5437171618700403
fluorescence,45,2017-01-13T03:54:47Z,1.525186569807074
fluorescence,45,2017-01-13T04:54:47Z,1.5066559777441078
fluorescence,45,2017-01-13T05:54:47Z,1.4881253856811414
fluorescence,45,2017-01-13T06:54:47Z,1.4695947936181752
fluorescence,45,2017-01-13T07:54:47Z,1.4510642015552089
fluorescence,45,2017-01-13T08:54:47Z,1.4325336094922427
fluorescence,45,2017-01-13T09:54:47Z,1.4140030174292764
fluorescence,45,2017-01-13T10:54:47Z,1.39547242536631
fluorescence,45,2017-01-13T11:54:47Z,1.3769418333033439
fluorescence,45,2017-01-13T12:54:47Z,1.3584112412403775
fluorescence,45,2017-01-13T13:54:47Z,1.3398806491774113
fluorescence,45,2017-01-13T14:54:47Z,1.321350057114445
fluorescence,45,2017-01-13T15:54:47Z,1.3028194650514786
fluorescence,45,2017-01-13T16:54:47Z,1.2842888729885125
